섹터분류,선도_코드,선도_ETF명,후발_코드,후발_ETF명,선도_종목수,후발_종목수,겹치는_종목수,자카드_유사도(%),카피율(%)
AI,A380340,ACE 코리아AI테크핵심산업,A427120,RISE AI플랫폼,86,44,16,14.04,36.36
AI,A380340,ACE 코리아AI테크핵심산업,A434960,DAISHIN343 K200,86,240,17,5.5,7.08
AI,A380340,ACE 코리아AI테크핵심산업,A483020,KIWOOM 의료AI,86,47,2,1.53,4.26
AI,A380340,ACE 코리아AI테크핵심산업,A487750,BNK 온디바이스AI,86,31,16,15.84,51.61
AI,A380340,ACE 코리아AI테크핵심산업,A0105D0,SOL 한국AI소프트웨어,86,17,12,13.19,70.59
AI전력,A487240,KODEX AI전력핵심설비,A0101N0,RISE AI전력인프라,12,15,9,50.0,60.0
AI전력,A487240,KODEX AI전력핵심설비,A0117V0,TIGER 코리아AI전력기기TOP3플러스,12,12,11,84.62,91.67
IT,A139260,TIGER 200 IT,A261060,TIGER 코스닥150IT,40,132,2,1.18,1.52
IT,A139260,TIGER 200 IT,A266370,KODEX IT,40,131,22,14.77,16.79
IT,A139260,TIGER 200 IT,A298770,KODEX 한국대만IT프리미어,40,20,13,27.66,65.0
IT,A139260,TIGER 200 IT,A326240,RISE IT플러스,40,198,23,10.7,11.62
IT,A139260,TIGER 200 IT,A363580,KODEX 200IT TR,40,20,20,50.0,100.0
IT,A139260,TIGER 200 IT,A472840,ITF 200,40,228,28,11.67,12.28
KPOP,A395290,HANARO Fn K-POP&미디어,A475050,ACE KPOP포커스,34,12,9,24.32,75.0
esg,A285690,FOCUS ESG리더스,A289040,KODEX MSCI KOREA ESG유니버설,283,175,133,40.92,76.0
esg,A285690,FOCUS ESG리더스,A289250,TIGER MSCI KOREA ESG유니버설,283,173,131,40.31,75.72
esg,A285690,FOCUS ESG리더스,A289260,TIGER MSCI KOREA ESG리더스,283,96,85,28.91,88.54
esg,A285690,FOCUS ESG리더스,A290130,RISE ESG사회책임투자,283,377,205,45.05,54.38
esg,A285690,FOCUS ESG리더스,A337160,KODEX 200ESG,283,176,171,59.38,97.16
esg,A285690,FOCUS ESG리더스,A417630,TIGER KEDI혁신기업ESG30,283,69,52,17.33,75.36
건설,A117700,KODEX 건설,A139220,TIGER 200 건설,65,37,22,27.5,59.46
게임,A300950,KODEX 게임산업,A300640,RISE 게임테마,39,41,36,81.82,87.8
게임,A300950,KODEX 게임산업,A300610,TIGER K게임,39,30,29,72.5,96.67
게임,A300950,KODEX 게임산업,A364990,TIGER 게임TOP10,39,17,16,40.0,94.12
게임,A300950,KODEX 게임산업,A395280,HANARO Fn K-게임,39,26,26,66.67,100.0
금융,A139270,TIGER 200 금융,A284980,RISE 200금융,30,25,25,83.33,100.0
기후변화,A375770,KODEX 탄소효율그린뉴딜,A376410,TIGER 탄소효율그린뉴딜,823,854,805,92.32,94.26
기후변화,A375770,KODEX 탄소효율그린뉴딜,A375760,HANARO 탄소효율그린뉴딜,823,833,790,91.22,94.84
기후변화,A375770,KODEX 탄소효율그린뉴딜,A404260,KODEX 기후변화솔루션,823,64,61,7.38,95.31
기후변화,A375770,KODEX 탄소효율그린뉴딜,A404650,SOL KRX기후변화솔루션,823,64,61,7.38,95.31
기후변화,A375770,KODEX 탄소효율그린뉴딜,A404540,TIGER KRX기후변화솔루션,823,66,63,7.63,95.45
뉴딜디지털,A368190,HANARO Fn K-뉴딜디지털플러스,A368680,KODEX K-뉴딜디지털플러스,39,39,39,100.0,100.0
메타버스,A401170,RISE 메타버스,A400970,TIGER Fn메타버스,56,36,23,33.33,63.89
메타버스,A401170,RISE 메타버스,A402460,HANARO Fn K-메타버스MZ,56,78,36,36.73,46.15
반도체,A091160,KODEX 반도체,A091230,TIGER 반도체,116,116,116,100.0,100.0
반도체,A091160,KODEX 반도체,A395160,KODEX AI반도체,116,53,32,23.36,60.38
반도체,A091160,KODEX 반도체,A395270,HANARO Fn K-반도체,116,33,23,18.25,69.7
반도체,A091160,KODEX 반도체,A396500,TIGER 반도체TOP10,116,16,15,12.82,93.75
반도체,A091160,KODEX 반도체,A455850,SOL AI반도체소부장,116,32,24,19.35,75.0
반도체,A091160,KODEX 반도체,A469150,ACE AI반도체TOP3+,116,40,30,23.81,75.0
반도체,A091160,KODEX 반도체,A471990,KODEX AI반도체핵심장비,116,28,21,17.07,75.0
반도체,A091160,KODEX 반도체,A488210,KIWOOM K-반도체북미공급망,116,32,16,12.12,50.0
반도체,A091160,KODEX 반도체,A0005G0,ITF K-AI반도체코어테크,116,30,15,11.45,50.0
반도체,A091160,KODEX 반도체,A0093A0,RISE AI반도체TOP10,116,11,11,9.48,100.0
반도체공정,A471760,TIGER AI반도체핵심공정,A475300,SOL 반도체전공정,26,16,8,23.53,50.0
반도체공정,A471760,TIGER AI반도체핵심공정,A475310,SOL 반도체후공정,26,17,12,38.71,70.59
반도체공정,A471760,TIGER AI반도체핵심공정,A476260,HANARO 반도체핵심공정주도주,26,44,18,34.62,40.91
방산,A449450,PLUS K방산,A463250,TIGER K방산&우주,18,29,9,23.68,31.03
방산,A449450,PLUS K방산,A490480,SOL K방산,18,14,8,33.33,57.14
방산,A449450,PLUS K방산,A0080G0,KODEX 방산TOP10,18,11,9,45.0,81.82
방산,A449450,PLUS K방산,A0090B0,PLUS K방산소부장,18,13,5,19.23,38.46
밸류업,A495050,RISE 코리아밸류업,A495850,KODEX 코리아밸류업,132,132,132,100.0,100.0
밸류업,A495050,RISE 코리아밸류업,A496080,TIGER 코리아밸류업,132,132,132,100.0,100.0
밸류업,A495050,RISE 코리아밸류업,A495550,SOL 코리아밸류업TR,132,132,132,100.0,100.0
밸류업,A495050,RISE 코리아밸류업,A496090,KIWOOM 코리아밸류업,132,132,132,100.0,100.0
밸류업,A495050,RISE 코리아밸류업,A495330,1Q 코리아밸류업,132,132,132,100.0,100.0
밸류업,A495050,RISE 코리아밸류업,A495040,PLUS 코리아밸류업,132,132,132,100.0,100.0
밸류업,A495050,RISE 코리아밸류업,A495750,HANARO 코리아밸류업,132,132,132,100.0,100.0
밸류업,A495050,RISE 코리아밸류업,A496120,ACE 코리아밸류업,132,132,132,100.0,100.0
삼성그룹,A102780,KODEX 삼성그룹,A108450,ACE 삼성그룹섹터가중,22,21,21,95.45,100.0
삼성그룹,A102780,KODEX 삼성그룹,A131890,ACE 삼성그룹동일가중,22,21,21,95.45,100.0
삼성그룹,A102780,KODEX 삼성그룹,A138520,TIGER 삼성그룹,22,23,20,80.0,86.96
삼성그룹,A102780,KODEX 삼성그룹,A213610,KODEX 삼성그룹밸류,22,21,20,86.96,95.24
설비투자,A454320,HANARO CAPEX설비투자iSelect,A491820,HANARO 전력설비투자,29,18,6,14.63,33.33
소버린AI,A0103T0,1Q K소버린AI,A0115E0,KODEX 코리아소버린AI,19,28,4,9.3,14.29
에너지,A377990,TIGER Fn신재생에너지,A381570,HANARO Fn친환경에너지,36,48,16,23.53,33.33
에너지화학,A117460,KODEX 에너지화학,A139250,TIGER 200 에너지화학,71,56,45,54.88,80.36
엔터,A266360,KODEX K콘텐츠,A388280,RISE K엔터&여행레저,60,37,7,7.78,18.92
원자력,A434730,HANARO 원자력iSelect,A433500,ACE 원자력TOP10,30,39,22,46.81,56.41
원자력,A434730,HANARO 원자력iSelect,A0091P0,TIGER 코리아원자력,30,15,13,40.62,86.67
원자력SMR,A0092B0,SOL 한국원자력SMR,A0098F0,KODEX 원자력SMR,13,16,12,70.59,75.0
의료기기,A307510,TIGER 의료기기,A464610,SOL 의료기기소부장Fn,116,26,21,17.36,80.77
이차전지,A305720,KODEX 2차전지산업,A305540,TIGER 2차전지테마,50,53,39,60.94,73.58
이차전지,A305720,KODEX 2차전지산업,A364980,TIGER 2차전지TOP10,50,18,17,33.33,94.44
이차전지,A305720,KODEX 2차전지산업,A455860,SOL 2차전지소부장Fn,50,33,22,36.07,66.67
이차전지,A305720,KODEX 2차전지산업,A461950,KODEX 2차전지핵심소재10,50,12,12,24.0,100.0
이차전지,A305720,KODEX 2차전지산업,A462010,TIGER 2차전지소재Fn,50,21,19,36.54,90.48
이차전지,A305720,KODEX 2차전지산업,A465330,RISE 2차전지TOP10,50,13,13,26.0,100.0
이차전지,A305720,KODEX 2차전지산업,A466810,BNK 2차전지양극재,50,12,12,24.0,100.0
이차전지,A305720,KODEX 2차전지산업,A488200,KIWOOM K-2차전지북미공급망,50,26,14,22.58,53.85
자동차,A091180,KODEX 자동차,A464600,SOL 자동차소부장Fn,50,28,14,21.88,50.0
자동차,A091180,KODEX 자동차,A466930,SOL 자동차TOP3플러스,50,17,8,13.56,47.06
조선,A441540,HANARO Fn조선해운,A466920,SOL 조선TOP3플러스,24,17,12,41.38,70.59
조선,A441540,HANARO Fn조선해운,A494670,TIGER 조선TOP10,24,14,10,35.71,71.43
조선,A441540,HANARO Fn조선해운,A0115D0,KODEX 조선TOP10,24,11,9,34.62,81.82
조선,A441540,HANARO Fn조선해운,A0141S0,SOL 조선기자재,24,10,7,25.93,70.0
증권,A102970,KODEX 증권,A157500,TIGER 증권,20,20,18,81.82,90.0
철강,A117680,KODEX 철강,A139240,TIGER 200 철강소재,40,31,18,33.96,58.06
헬스케어,A143860,TIGER 헬스케어,A227540,TIGER 200 헬스케어,172,30,30,17.44,100.0
헬스케어,A143860,TIGER 헬스케어,A244580,KODEX 바이오,172,186,137,61.99,73.66
헬스케어,A143860,TIGER 헬스케어,A253280,RISE 헬스케어,172,106,100,56.18,94.34
헬스케어,A143860,TIGER 헬스케어,A261070,TIGER 코스닥150바이오테크,172,84,82,47.13,97.62
헬스케어,A143860,TIGER 헬스케어,A266420,KODEX 헬스케어,172,170,170,98.84,100.0
헬스케어,A143860,TIGER 헬스케어,A364970,TIGER 바이오TOP10,172,22,22,12.79,100.0
화장품,A228790,TIGER 화장품,A479850,HANARO K-뷰티,34,25,16,37.21,64.0
화장품,A228790,TIGER 화장품,A0008T0,SOL 화장품TOP3플러스,34,12,11,31.43,91.67
